municipio,coef_vial,se_vial,ci_vial_lower,ci_vial_upper,coef_area,se_area,ci_area_lower,ci_area_upper
Acoyapa,0.8172662332469552,0.3680920080921747,0.02274121362771175,1.5323806544571623,-0.23135764910683343,0.08020231366059716,-0.40230449110333566,-0.07244314519647725
Altagracia (Municipio),0.8289784305616591,0.35552750066196603,0.11861188409021871,1.5982149349005654,-0.23276971274710126,0.08089959441080743,-0.40027775273440286,-0.0705500928727933
Belén (Municipio),0.822681618149523,0.3563342550239961,0.0511922226256079,1.5271529522348792,-0.23099558978478812,0.07964167677319837,-0.38851931686994295,-0.07122766136206715
Buenos Aires (Municipio),0.8390000316324122,0.3461518271683864,0.1256444618420425,1.5843162386230416,-0.23211724320822893,0.0786702015641411,-0.3857449008698053,-0.06694682716042084
Catarina (Municipio),0.8768771791677757,0.3030234937513697,0.2563349663458254,1.493505315954681,-0.23446366854481293,0.069825474132158,-0.3864697446850328,-0.09946810793847047
Chichigalpa (Municipio),0.8262530590558345,0.34266567924104013,0.10736144585094161,1.5288320543021412,-0.23844977119194358,0.07740763086239494,-0.39745561637411975,-0.08651008092226499
Chinandega (Municipio),0.8306424796216177,0.3426346178837967,0.11913332195645226,1.5720036485196038,-0.23243092993419096,0.07851774643998104,-0.38622249238322076,-0.07569858318020338
Ciudad Sandino (Municipio),0.9526280344528406,0.3098642835960231,0.4052750970954628,1.6256870633203784,-0.2455793056562497,0.07070361363034945,-0.3867717233351376,-0.10385154814339394
Comalapa (Municipio),0.8390527024005405,0.34490501898582104,0.1666507097728846,1.6401595232703179,-0.23317646067018055,0.0791609043304119,-0.39949732054668613,-0.09347417373202058
Corinto (Municipio),0.7234871136670983,0.3515978450381633,-0.03948836379319403,1.3860973593997545,-0.2418348762354338,0.073892692470669,-0.396419457022659,-0.09861014553998998
Corn Island,0.9965133811144536,0.3301673797236524,0.4024147942091144,1.6999646600105305,-0.221780529706817,0.07070847921321523,-0.357773085491559,-0.07422963322168709
Cárdenas,0.8258133474879131,0.3542464871940377,0.09609822813233257,1.5765654718147517,-0.23171701126553482,0.078725955993182,-0.4024412071972737,-0.0911181400096195
Diriamba (Municipio),0.8078518598971184,0.35389818501258996,0.08537975386580694,1.5581873352962599,-0.2316368778111627,0.0807107697059338,-0.40574931570888323,-0.07670227222369795
Diriomo (Municipio),0.8448436463602532,0.25596525414033106,0.36215710744973933,1.38549061260353,-0.22532412947480715,0.0769822893475733,-0.3672681436170491,-0.05971915566550242
Diriá (Municipio),0.8719959596354709,0.3466267312461523,0.15908821206265022,1.5991112131086733,-0.23589917968506985,0.07275106156590647,-0.3863484253394286,-0.09297520656632026
Dolores (Municipio),0.6396739911514192,0.2563274797177313,0.10198233985997437,1.097089824846822,-0.24299184537686636,0.06446818134330588,-0.37941775285396834,-0.12375912583157032
El Castillo (Municipio),0.8313608791261863,0.34086985068311243,0.1086916600090941,1.5374043758145393,-0.23111026578556917,0.07751707104337757,-0.39492611795432464,-0.08218050022335967
El Crucero (Municipio),0.8268817216103541,0.35724297183924103,0.08402610266903592,1.5754866375248446,-0.23361656978996923,0.0792564457629385,-0.3897970917194162,-0.07312099962230767
El Jicaral (Municipio),0.8250416078197493,0.3534457601460158,0.08349167393654629,1.5405938940616792,-0.23278137582524402,0.07910107480624488,-0.3885649974224746,-0.07513455750366702
El Realejo (Municipio),0.8501616005612345,0.34911302230829483,0.19005327808601352,1.6562269266939427,-0.22412040738194008,0.07702131008276895,-0.36797567368227146,-0.05794474394684436
El Rosario (Municipio),0.6966018481070994,0.2530456616590943,0.16419508968585117,1.1627478347739446,-0.22803344630232766,0.07153134550083191,-0.37113378480098347,-0.08690501684838127
El Viejo (Municipio),0.79560643478114,0.33653165305309163,0.06804257918498423,1.4591815398757257,-0.22180230770879172,0.07893143954831823,-0.37916239303759486,-0.06110328470862609
Granada (Municipio),0.8273874602233795,0.33944251036483813,0.1586609891624843,1.5357579465722582,-0.2320367511636384,0.07737238213433423,-0.39262008182507285,-0.07643437861285332
Jinotepe (Municipio),0.804107591889954,0.3513579255909587,0.06412113488923027,1.513962283093098,-0.23204245694925574,0.08142719895944879,-0.4050002603670569,-0.08018157592090411
Juigalpa (Municipio),0.8289014786785694,0.34055338947221425,0.14486060332358028,1.5662120686288203,-0.2329166471719333,0.07839654182957928,-0.39221058267267683,-0.08396882651473571
La Concepción (Municipio),0.8755923552082114,0.32769568142642314,0.25917276650127535,1.5795818952410323,-0.24315788576740466,0.0737266197480292,-0.39815532491118877,-0.1050016309166877
La Conquista (Municipio),0.8047969199774826,0.3395402142075433,0.041420022556107175,1.4479671249939554,-0.22453087926944357,0.07631209023314105,-0.3732601074850889,-0.06820419564413717
La Paz Centro (Municipio),0.8291075487654522,0.35446132882427883,0.03771819708763767,1.5128627712981244,-0.23289211059940687,0.07690604618646381,-0.3809855141478768,-0.07625195606994242
La Paz de Carazo (Municipio),0.8396130171422599,0.2825625180051455,0.2663966042140795,1.4243082898131034,-0.22439274187202196,0.07175836620678591,-0.35931392419793173,-0.06961119546613033
Managua (Municipio),1.018251116243062,0.24617325990664354,0.6003629076276622,1.5372235591438395,-0.23403014398592678,0.06332095044244145,-0.3635254521246782,-0.11551639376980734
Masatepe (Municipio),0.7083683112293894,0.22894103230341853,0.2226124116265103,1.135379433730186,-0.24105010101900864,0.07409087420529209,-0.3957670443782435,-0.1004552311949643
Masaya (Municipio),0.9527264490520779,0.27703844220731105,0.43113279053707054,1.5202326565602002,-0.2345589890105988,0.07234521317667683,-0.38754523119337886,-0.10015195551010635
Mateare (Municipio),0.7477848105775732,0.345448572081752,0.0390551264696371,1.4642689297614335,-0.20992443544907985,0.08243859508303976,-0.36065902825914886,-0.03615534169981536
Morrito (Municipio),0.8232832802510816,0.3515864812010416,0.17434976165907848,1.6544681959873602,-0.23172910649051776,0.07721841273401284,-0.38256551056949156,-0.0696894137849354
Moyagalpa (Muncipio),0.8377224372220844,0.35078793724259083,0.10092278855324101,1.581674110582897,-0.22958669601214296,0.0775864754014322,-0.37946802974883526,-0.06720717430459802
Muncipio San Sebastián de Yalí,0.8083879740657219,0.35269595951047483,0.07831059396718511,1.5227855028192905,-0.23253571076120516,0.08125527236991247,-0.39958198656188815,-0.07025823460737175
Municipio Achuapa,0.8308503057512544,0.3430298714826437,0.13874912007692902,1.557087045900566,-0.23237058497715735,0.0791293761073342,-0.4016661944972298,-0.07981381810830489
Municipio Bluefields,0.8155451803523097,0.3432933289570701,0.17076313161370918,1.589508406754677,-0.23261619696648816,0.07984623492007233,-0.3947622560751912,-0.08115208339518269
Municipio Boaco,0.824107591910704,0.34721917204187125,0.08056211981740898,1.5297102085758691,-0.23266141928048803,0.07945678440982107,-0.39475361292424377,-0.06979485942740506
Municipio Bonanza,0.8246172191117536,0.3481703260342436,0.10729416408001431,1.5492268483029592,-0.23316636782471312,0.07998372990720973,-0.3996009007731325,-0.08020665706012595
Municipio Camoapa,0.8332233723586969,0.35716521861962386,0.07727496184025241,1.5446051909077105,-0.23073231883186612,0.07664299143373714,-0.3884740530374506,-0.08184836405246257
Municipio Ciudad Antigua,0.8053907591795376,0.3473170782007818,0.08071557444769178,1.530760037726965,-0.2261872916149134,0.0786682935338409,-0.3847987548435292,-0.06880960861515899
Municipio Ciudad Darco,0.8232906981814525,0.34727939352573656,0.1421549453561965,1.6333849410902412,-0.2313161039240668,0.07798255796899359,-0.37357541458980364,-0.059148010255037506
Municipio Condega,0.81208019864682,0.3405398273268814,0.07980294464968316,1.5043894809247058,-0.23252616555191344,0.07927083537541932,-0.3817059260097531,-0.06734640632532271
Municipio Desembocadura de Cruz Río Grande,0.8262516040077897,0.34852632437693776,0.025296741802254396,1.509846095701754,-0.23260343689468935,0.07611530399449373,-0.3843161817167361,-0.07217977581636213
Municipio Dipilito,0.8193558726555422,0.36245321020065674,0.06886082854558573,1.5885409162668702,-0.2286521314672322,0.07866547133814433,-0.38164809881233047,-0.06777085259288385
Municipio El Almendro,0.8297038373044467,0.35351821488024365,0.06854140093170615,1.5186333875733478,-0.23171321175982132,0.0769165137867892,-0.4035619812484734,-0.08465405314048105
Municipio El Ayote,0.8313530605792641,0.36383163624661385,0.09423577515756354,1.6113226600317114,-0.23224200860188995,0.07717220374579885,-0.3789288733232387,-0.07076358894933746
Municipio El Coral,0.8210739076727982,0.3617766631705134,0.016975210973765864,1.518585536567919,-0.23120192191009303,0.07963148725436626,-0.39617588092563943,-0.07368876501275368
Municipio El Cuá,0.8184950689867553,0.3480425858369465,0.0606241869098939,1.505671066562012,-0.23318755629264692,0.07871543554686991,-0.40077257254617804,-0.07989350700042923
Municipio El Jacaro,0.8185286577058275,0.34703773349565653,0.05108114387096599,1.5261813516135956,-0.23141570024725336,0.07828628819148474,-0.3877005979715756,-0.07026852659370597
Municipio El Rama,0.8256653785686849,0.3457016110732118,0.11002287539194024,1.5504248263867182,-0.23257006325165958,0.07869621452921877,-0.37695788350747245,-0.061223460078098334
